"user_id","20","1535","1575","4224","5114","6547","9253","10620","11757","16498"
7345,6,10,7,9,9,6,9,5,4,6
12431,NA,6,NA,7,7,7,7,6,7,6
22434,8,10,10,10,10,10,10,8,9,9
42635,7,9,7,7,6,6,8,7,7,7
45659,8,8,9,10,10,7,9,9,8,9
51693,NA,9,9,9,10,8,8,7,8,8
53698,NA,7,9,8,NA,6,8,7,9,8
57620,6,10,8,10,10,10,10,8,9,9
59643,7,10,10,9,9,9,9,7,8,9
65840,8,10,10,9,8,9,10,7,9,8
